city,quantity
acari,10987.58291289
acu,53130.87262226
afonso bezerra,10805.19972743
agua nova,2980.0
alexandria,13474.134049799999
almino afonso,4860.0
alto do rodrigues,12257.12037045
angicos,11500.33058508
antonio martins,6886.98442161
apodi,34722.053754
areia branca,25247.95510626
ares,12834.33288432
augusto severo,9276.62739985
baia formosa,8510.60618594
barauna,23936.96848538
barcelona,3938.95312321
bento fernandes,5053.9902164
bodo,2425.0
bom jesus,9413.0
brejinho,11561.61286404
caicara do norte,6012.50039485
caicara do rio do vento,3304.43077962
caico,62243.99546732
campo redondo,10266.0
canguaretama,30893.0
caraubas,19518.26226065
carnauba dos dantas,7390.70884501
carnaubais,9747.60055748
ceara-mirim,67806.65756471
cerro cora,10916.0
coronel ezequiel,5405.0
coronel joao pessoa,4769.36788041
cruzeta,7935.94251361
currais novos,42296.53520917
doutor severiano,6456.74482322
encanto,5217.89757288
equador,5822.0
espirito santo,10421.01014255
extremoz,24552.0
felipe guerra,5703.48594226
fernando pedroza,2844.13709637
florania,8959.0
francisco dantas,2868.4178672
frutuoso gomes,4208.97128902
galinhos,2122.96085098
goianinha,22439.65079025
governador dix-sept rosado,12369.1208125
grossos,9325.82996767
guamare,12404.0
ielmo marinho,12162.2010467
ipanguacu,13856.0
ipueira,2077.0
itaja,6915.71471002
itau,5548.80864708
jacana,7918.07420378
jandaira,6762.11576663
janduis,5327.70344746
januario cicco,8960.48292557
japi,5520.0
jardim de angicos,2591.71522905
jardim de piranhas,13494.92548778
jardim do serido,12082.60464317
joao camara,32116.99987915
joao dias,2601.0
jose da penha,5857.93322978
jucurutu,17597.87341357
jundia,3525.68234024
lagoa d'anta,6193.27122069
lagoa de pedras,6989.0
lagoa de velhos,2640.74043583
lagoa nova,13979.0
lagoa salgada,7530.2740717
lajes,10288.0199517
lajes pintadas,4612.0
lucrecia,3633.0
luis gomes,9610.0
macaiba,69225.87319898
macau,28828.18449677
major sales,3536.0
marcelino vieira,8247.13779479
martins,8201.33488556
maxaranguape,10351.93025631
messias targino,4162.22254004
montanhas,11409.12179502
monte alegre,20674.42907228
monte das gameleiras,2259.09725662
mossoro,258869.61037956
natal,801698.19492885
nisia floresta,23213.0
nova cruz,35355.07817385
olho-d'agua do borges,4284.81203523
ouro branco,4699.0
parana,3952.0
parau,3829.66776459
parazinho,4845.0
parelhas,20310.0
parnamirim,201460.87690066
passa e fica,11069.54619639
passagem,2895.0
patu,11940.60358594
pau dos ferros,27622.57022835
pedra grande,3486.84631111
pedra preta,2571.69488791
pedro avelino,7171.0
pedro velho,14043.427433300001
pendencias,13432.0
piloes,3453.0
poco branco,13915.23693877
portalegre,7274.74455573
porto do mangue,5192.20509114
presidente juscelino,8763.0
pureza,8383.73763756
rafael fernandes,4692.0
rafael godeiro,3049.79514617
riacho da cruz,3133.87160429
riacho de santana,4156.0
riachuelo,7067.0
rio do fogo,9944.27459958
rodolfo fernandes,4418.0
ruy barbosa,3595.0
santa cruz,35636.18944991
santa maria,4724.275124710001
santana do matos,13787.58438684
santana do serido,2522.72322542
santo antonio,22216.0
sao bento do norte,2964.15258034
sao bento do trairi,3905.0
sao fernando,3401.0
sao francisco do oeste,3843.55924844
sao goncalo do amarante,87482.59623388
sao joao do sabugi,5922.0
sao jose de mipibu,39646.97194625
sao jose do campestre,12355.0
sao jose do serido,4212.14711722
sao miguel,22097.86268636
sao miguel do gostoso,8633.0
sao paulo do potengi,15796.32222069
sao pedro,6235.0
sao rafael,8068.52065166
sao tome,10760.35448474
sao vicente,6017.93776609
senador eloi de souza,5626.43541042
senador georgino avelino,3915.26226343
serra de sao bento,5743.0
serra do mel,10193.09031887
serra negra do norte,7758.65823843
serrinha,6581.0
serrinha dos pintos,4540.0
severiano melo,5717.56840492
sitio novo,5020.0
taboleiro grande,2317.0
taipu,11825.52782286
tangara,14080.53452181
tenente ananias,9883.0
tenente laurentino cruz,5395.94040978
tibau,3641.20765289
tibau do sul,11349.0
timbauba dos batistas,2295.0
touros,30999.34124581
triunfo potiguar,3354.23387661
umarizal,10627.03144446
upanema,12986.71630958
varzea,5236.0
venha-ver,3821.0
vera cruz,10689.24269218
vicosa,1618.0
vila flor,2872.0
