city,qt
agua branca,9449
aguiar,5524.00493829
alagoa grande,28468
alagoa nova,19681
alagoinha,13539.53362634
alcantil,5235.91814224
algodao de jandaira,2353.42891505
alhandra,17895.8944374
amparo,2088
aparecida,7668.20256859
aracagi,17224
arara,12635.4146524
araruna,18813.15487595
areia,23803
areia de baraunas,1927
areial,6441.58999516
aroeiras,19037.65242932
assuncao,3507.24994669
baia da traicao,7995.289514
bananeiras,21831
barauna,4220
barra de santa rosa,14135.10844882
barra de santana,8185.51129277
barra de sao miguel,5598.76300025
bayeux,99621.19486031
belem,17042.35214763
belem do brejo do cruz,7121.22220694
bernardino batista,3075
boa ventura,5746.18750639
boa vista,6207
bom jesus,2400
bom sucesso,5022.36190634
bonito de santa fe,10749.00941789
boqueirao,16856.41593007
borborema,5094.45509216
brejo do cruz,13118.01239856
brejo dos santos,6181.12159015
caapora,20286.42209101
cabaceiras,5020.25652676
cabedelo,57277.29688339
cachoeira dos indios,9540.27134802
cacimba de areia,3543.3336389
cacimba de dentro,16680.50470231
cacimbas,6810.76823156
caicara,7209.47599285
cajazeiras,58257
cajazeirinhas,3011.74449194
caldas brandao,5633.95419557
camalau,5714.50667188
campina grande,383686.68312421
capim,5601
caraubas,3883.94954726
carrapateira,2378
casserengue,7054.67825273
catingueira,4812
catole do rocha,28681
caturite,4543
conceicao,18274.46181078
condado,6527.65349135
conde,21278.29930901
congo,4687
coremas,15067.49860269
coxixola,1771
cruz do espirito santo,16214.51898783
cubati,6852.73811258
cuite,19930
cuite de mamanguape,6198.95906359
cuitegi,6863.54165425
curral de cima,5205.69059896
curral velho,2496.08728696
damiao,4900
desterro,7983.07250863
diamante,6616
dona ines,10512.60220403
duas estradas,3623.73043918
emas,3269.02715857
esperanca,30999.32914637
fagundes,11405
frei martinho,2919.89132845
gado bravo,8358.18139187
guarabira,55041.7862118
gurinhem,13842
gurjao,3159
ibiara,6003.31768711
igaracy,6141.57865629
imaculada,11348.50285241
inga,18160
itabaiana,24436.66803111
itaporanga,23111.7976797
itapororoca,16992.53380931
itatuba,10196
jacarau,13869.30845635
jerico,7535.17544965
joao pessoa,718544.3680639
joca claudino,2615
juarez tavora,7459
juazeirinho,16758
junco do serido,6643
juripiranga,10237
juru,9820.65722646
lagoa,4681
lagoa de dentro,7367.14274673
lagoa seca,25858
lastro,2798.50806234
livramento,7157.87965107
logradouro,3929.96505353
lucena,11707
mae d'agua,4008.11517869
malta,5592.59792165
mamanguape,42244
manaira,10759
marcacao,7591.44963356
mari,21124.0965353
marizopolis,6173
massaranduba,12902
mataraca,7363.1412534
matinhas,4321
mato grosso,2696.55871041
matureia,5917.74561192
mogeiro,12491
montadas,4951.96045589
monte horebe,4508
monteiro,30802.14539527
mulungu,9458.09057889
natuba,10566
nazarezinho,7275.59210441
nova floresta,10513.18441117
nova olinda,6035.74764933
nova palmeira,4361
olho d'agua,6895.36007063
olivedos,3627
ouro velho,2928
parari,1256
passagem,2227.95762476
patos,100298.03917801
paulista,11753.74910024
pedra branca,3721
pedra lavrada,7448.48256743
pedras de fogo,26995
pedro regis,5765
pianco,15405.47994512
picui,18210
pilar,11191
piloes,6953.53909877
piloezinhos,5107.02787149
pirpirituba,10326
pitimbu,16917.557347
pocinhos,17002.24555996
poco dantas,3751
poco de jose de moura,3977
pombal,32057
prata,3817.0993985
princesa isabel,21200.66551799
puxinana,12899.98470388
queimadas,41037
quixaba,1670.34183705
remigio,17536.41165473
riachao,3266
riachao do bacamarte,4261.09470155
riachao do poco,4161.26952536
riacho de santo antonio,1711.87627679
riacho dos cavalos,8314
rio tinto,22965.65392072
salgadinho,3508
salgado de sao felix,11877.6518886
santa cecilia,6658
santa cruz,6419.62968753
santa helena,5357.21236858
santa ines,3526.28364847
santa luzia,14679.19875202
santa rita,119896.20171484
santa teresinha,4581
santana de mangueira,5319.81870929
santana dos garrotes,7261
santo andre,2635.61182848
sao bentinho,4134.36160796
sao bento,30829.42158975
sao domingos,2836.40487072
sao domingos do cariri,2420
sao francisco,3359.22236148
sao joao do cariri,4340
sao joao do rio do peixe,18147.33105729
sao joao do tigre,4396
sao jose da lagoa tapada,7564
sao jose de caiana,5978.0291485
sao jose de espinharas,4732.42811639
sao jose de piranhas,19030.07354652
sao jose de princesa,4216.08641663
sao jose do bonfim,3233
sao jose do brejo do cruz,1684
sao jose do sabugi,4006.83086163
sao jose dos cordeiros,3967.82334019
sao jose dos ramos,5508
sao mamede,7735.29546941
sao miguel de taipu,6676.16244119
sao sebastiao de lagoa de roca,11041
sao sebastiao do umbuzeiro,3235
sape,50074.66013152
serido,10215.72221471
serra branca,12937
serra da raiz,3182.85303756
serra grande,2975
serra redonda,7050
serraria,6190.19061327
sertaozinho,4395
sobrado,7347.2759803
solanea,26617.98067574
soledade,13719.37093978
sossego,3169
sousa,65486.96500556
sume,15984.28515003
tacima,10262
taperoa,14857.4291493
tavares,14103
teixeira,14097.38982452
tenorio,2813
triunfo,9204.73689196
uirauna,14520.0980266
umbuzeiro,9255.86321892
varzea,2504
vieiropolis,5041.39239684
vista serrana,3489.59736107
zabele,2071.11873617
